143;127;Альфа cash-in USD;USD Альфа cash-in;840;3;0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
144;69;Paymer RUB;RUB Paymer;643;1;0000000000000000010000000000000000000000000000000000000000000000000001000000000001100011000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
145;94;Capitalist USD;USD Capitalist;840;1;1011111111111111111111111111111111111111111111111111111111111000000001111111111111111111100110100000100000101100100010000011011110011111111111111111111111111111111111111101111111111111101111111101111001001111001111111101
146;171;Visa/MasterCard GBP;GBP Карта;826;3;1000100100111111110110111111011001111000110000111111110100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
147;131;Тинькофф QR;RUB ТКС QR;643;3;1000100100111110111110111000011001111000100000000000010000000000000001001000000010000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
148;111;Криптобиржи USD;USD Trade;840;1;1001111101111111110000111111111111111111111111111111111111110000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
149;14;Monero (XMR);XMR;991;0;1111111111111111111111111111111111111111111111111111111111111100000001111111111111111111111011101111111111111110000001000111011111111111111111111111111111111111111111111101111111111111101111111101101101001111110011110000
150;211;Ria USD;USD Ria;840;4;1000100100111110111110000000010000111000100000000000010000001000000001100000000010000010000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
151;212;Ria EUR;EUR Ria;978;4;1000100100111110111010000000010000111000100000000000010000000000000001100000000010000010000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
152;98;PaySera USD;USD PaySera;840;1;1000100100111110110010000000010000101000100000000000010000000000000000000110000011100011100000000010000000000000000000000000000000000000000000000000000000000000010000000000000000110000000000000100001000000000000000000000
153;112;Криптобиржи EUR;EUR Trade;978;1;1000100100011001110000000000010001110100000111011100000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
154;105;Epay USD;USD Epay;840;1;1000100100111110110010001001011001111000100100000000010000000000000001000110100011100011100000000110000000000000000000000001000010000000000000000000000000000000111000000000000000111000000101000100001100100000000010000000
155;167;Visa/MasterCard SEK;SEK Карта;752;3;1001111100111111110111111111111111111111111111111111111100111000000001111000111111111011100001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
156;73;PM e-Voucher USD;USD PMV;840;1;1011111111111111111111111111111111111111111111111111111111111000000101111111111111111111100001100000000000101100000010000111011111111111111111111111111111111111111111111101111111111111101111111101111001001111001111111100
157;138;Райффайзен;RUB РФБ;643;3;1011111111111111111111111111111111111111111111111111111111111000000001111110111111111111100001100000000000101100000001000010000000001011010111011011111111111101100111111101110110010110101111111000100000000000000000000000
158;148;Райффайзен UAH;UAH РФБ;980;3;1011111111111111111111111111111101111101111110111111111111111000001001111110111111111111100011100000110100001100000011000011010010011111111111111011111111111111111111111100111110010111100111111001100000000000000010000000
159;197;Счет ИП или ООО;RUB РасчСчет;643;3;1000000100000000001110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
160;11;Ether Classic (ETC);ETC;990;0;1111111111111111111111111111111111111111111111111111111111111100000001111111111111111111111001111001110111111110000011000111011111111111111111111111111111111111111111111111111111111111101111111101111111111111111111110100
161;13;Ripple (XRP);XRP;989;0;1111111111111111111111111111111111111111111111111111111111111100000101111111111111111111111101111111110111111111000011000111011111111111111111111111111111111111111111111111111111111111101111111101111111111111111111110101
162;18;Zcash (ZEC);ZEC;988;0;1111111111111111111111111111111111111111111111111111111111111100000101111111111111111111111111111111110111111111000011000111011111111111111111111111111111111111111111111111111111111111101111111101111111111111111111110001
163;19;Tether Omni (USDT);USDT Omni;840;0;1011111110111111111111111111011101111101111111111111111111111100000001101110111011111111110011100000000000001100000011000101011111111111111111111111111111111111111111001100001000111111000000000101111101001111001111110001
164;80;PayPal GBP;GBP PayPal;826;1;0000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111101000000000100000000000000000100000000000000000000000000000010010000
165;107;Alipay;CNY Alipay;156;1;1000100100111110110110000000010000111000100000000000010000000000000001000000000010000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
166;187;Любой банк CNY;CNY Банк;156;3;1000111100111110110110111100010001110000100000000010010000000000000001101000000011111011000001000000000000001000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000
167;190;Любой банк THB;THB Банк;764;3;0000000000000000000000000000000000000000000000000000000000001000000000000100000011100000000000000000000010000000000000000001010010010000000000000011111101011110010101000000000000010101000100000000000000000000000000000000
168;40;0x (ZRX);ZRX;108;0;1111111110111111111111111111111111111110111111111111111111111000000001111111111111111111110001100000000000101110000001000001011111111111111111111011111111111111111111111101111110111111101111111101100000001110110010110001
169;115;Exmo UAH;UAH Exmo;980;2;0000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000010101100000000000100000000000000000000000000000000000000000000000000000000
